0CAA,EDP  ACCTG                                                                                                    
0YBF,BIOCHEM CLIN BIOCHEMISTRY                                                                                     
0YBG,BIOCHEM CYTO HISTO CHEMIST                                                                                    
0YBH,BIOCHEM ENDOCRINE BIOCHEM                                                                                     
0YBI,BIOCHEM ENZYME CO ENZYME                                                                                      
0YBJ,BIOCHEM IMMUNDCHEMISTRY                                                                                       
0YBK,BIOCHEM INTER METABOL BIOS                                                                                    
0YBL,BIOCHEM LIPIDS                                                                                                
0YBM,BIOCHEM MICROBIOLOGIC CHEM                                                                                    
0YBN,AGRI FD CHEM NATURAL PIGME                                                                                    
0YBO,AGRI FD CHEM NEUROCHEMIST                                                                                     
0YBP,AGRI FD CHEM NUCLEIC ACIDS                                                                                    
0YBQ,AGRI FD CHEM ONCOL CARCINO                                                                                    
0YBR,AGRI FD CHEM PHYS BIOCHEM                                                                                     
0YBS,AGRI FD CHEM RADIA BIOCHEM                                                                                    
0YBT,AGRI FD CHEM STEROIDS                                                                                         
0YBU,AGRI FD CHEM TECHNO METHOD                                                                                    
0YBX,AGRI FD CHEM BIOCHEM OTH                                                                                      
0YBY,BIOCHEMISTRY                                                                                                  
0YCA,BIOGEOGRAPHY MED GEOGRAPHY                                                                                    
0YCB,IOGEOGRAPHY PHYTOGEOGRAPHY                                                                                    
0YCC,BIOGEOGRAPHY ZOOGEOGRAPHY                                                                                     
0YCX,BIOGEOGRAPHY OTHER                                                                                            
0YCY,BIOGEOGRAPHY                                                                                                  
0YDA,BIOPHYS SPEC BIOCOU TRANSM                                                                                    
0YDB,BIOPHYS SPEC BIOCHEM PHYSI                                                                                    
0YDC,BIOPHYS SPEC BIOELE TRANSM                                                                                    
0YDD,BIOPHYS SPEC BIOELECTRONIC                                                                                    
0YDE,BIOPHYS SPEC BIONICS                                                                                          
0YDF,BIOPHYS SPEC BIO OPT PH GE                                                                                    
0YDG,BIOPHYS SPEC BIO SYS COMMU                                                                                    
0YDH,BIOPHYS SPEC BIOTHER BIOEN                                                                                    
0YDI,BIOPHYS SPEC BIOTRAN MEMBR                                                                                    
0YDJ,BIOPHYS SPEC CELLU BIOPHYS                                                                                    
0YDK,BIOPHYS SPEC ELECTRO MICRO                                                                                    
0YDL,BIOPHYS SPEC FLUID BIOMECH                                                                                    
0YDM,BIOPHYS SPEC HEALTH PHYSIC                                                                                    
0YDN,BIOPHYS SPEC MATH BIOPHYSI                                                                                    
0YDO,BIOPHYS SPEC METH INST MEA                                                                                    
0YDP,BIOPHYS SPEC MOLECUL BIOPH                                                                                    
0YDQ,BIOPHYS SPEC RADIATIN BIOG                                                                                    
0YDR,BIOPHYS SPEC SOLID BIOMECH                                                                                    
0YDX,BIOPHYS SPEC OTHER                                                                                            
0YDY,BIOPHYSICAL SPECIALTIES                                                                                       
0YEA,OPERATIONAL ANALYSIS                                                                                          
0YEC,OPS RES CMD & CNTRL                                                                                           
0YET,OPS RES TEST & EVAL                                                                                           
0YEY,OPERATIONS RESEARCH                                                                                           
0YFA,PALEONTOLOGY MICROPALEONT                                                                                     
0YFB,PALEONTOLOGY PALEOBOTANY                                                                                      
0YFC,PALEONTOLOGY PALEOZOOLOGY                                                                                     
0YFD,PALEONTOLOGY PALYNOLOGY                                                                                       
0YFX,PALEONTOLOGY OTHER                                                                                            
0YFY,PALEONTOLOGY                                                                                                  
0YGY,PSYCHOMETRICS                                                                                                 
0YHY,SOCIAL PSYCHOLOGY                                                                                             
0YIA,SOIL SCIENCE SOIL WATER MGT                                                                                   
0YIB,SOIL SCIENCE SOIL CHEMISTRY                                                                                   
0YIC,SOIL SCIEN FERTI PLNT NUTRI                                                                                   
0YID,SOIL SCIEN GENESIS MORPH CL                                                                                   
0YIE,SOIL SCIEN  MICROBIOLOGY                                                                                      
0YIF,SOIL SCIEN  MINERALOGY                                                                                        
0YIG,SOIL SCIEN  SOIL PHYSICS                                                                                      
0YIX,SOIL SCIENCE  OTHER                                                                                           
0YIY,SOIL SCIENCE                                                                                                  
0YJY,SYSTEMS ANALYSIS                                                                                              
0YKS,MANAGEMENT SCIENCE                                                                                            
0YKY,SYSTEMS MANAGEMENT                                                                                            
0YLA,WESTERN EUROPE                                                                                                
0YLB,EASTERN EUROPE                                                                                                
0YLC,RUSSIAN STUDIES                                                                                               
0YLD,NORTH AFRICA                                                                                                  
0YLE,SUB SAHARA AFRICA                                                                                             
0YLF,MIDDLE EAST                                                                                                   
0YLG,SOUTH ASIA                                                                                                    
0YLH,MEDITERRANEAN                                                                                                 
0YLI,ASIAN STUDIES                                                                                                 
0YLJ,SOUTHEAST ASIA                                                                                                
0YLK,CARIBBEAN                                                                                                     
0YLL,LATIN AMERICA                                                                                                 
0YLM,FAR EAST                                                                                                      
0YLY,AREA SPECIALIST                                                                                               
0YMY,FORENSIC SCI  PATH  AFIT                                                                                      
0YNY,ELECTRONIC WARFARE SYS TECH                                                                                   
0YOY,ENVIRONMENTAL SCIENCES                                                                                        
0YOZ,ENVIRO SUSTAINABILITY                                                                                         
0YRI,SPACE OPS  INFORMATION OPS                                                                                    
0YRS,SPACE STUDIES                                                                                                 
0YRY,SPACE OPERATIONS                                                                                              
0YSA,ELECTRONIC WARFARE                                                                                            
0YSB,OPS RES  CMD/CNTR/COM                                                                                         
0YST,CMD CNTRL TEST & EVAL                                                                                         
0YSY,OPS RES  STRAT AND TACT                                                                                       
0YTA,SYS TECHNOLOGY CMD CTRL COM                                                                                   
0YTB,TELEPROCESSING SCIENCE                                                                                        
0YTY,TELECOMMUNICATIONS                                                                                            
0YUY,STRATEGIC INTELLIGENCE                                                                                        
0YVA,SCI  TECH & GLOBALIZATION                                                                                     
0YVB,STRATEGIC STUDIES                                                                                             
0YVC,JOINT CAMPAIGN PLANNING & STRATEGY                                                                            
0YVY,NAT SEC & STRAT STUDIES                                                                                       
0YWJ,JOINT INFORMATION OPERATIONS  JIO                                                                             
0YWY,SPEC OPS & LOW INTENS CONFL                                                                                   
0YXY,INTER AREA SPECL OTHER                                                                                        
0YYY,INTER AREA SPECIALIZATIONS                                                                                    
11,11  -UNKNOWN                                                                                                  
111,111 -UNKNOWN                                                                                                  
11XY,11XY-UNKNOWN                                                                                                  
1910,1910-UNKNOWN                                                                                                  
1A  ,1A  -UNKNOWN                                                                                                  
1A Y,1A Y-UNKNOWN                                                                                                  
1A0C,1A0C-UNKNOWN                                                                                                  
1A0Y,1A0Y-UNKNOWN                                                                                                  
1A1B,1A1B-UNKNOWN                                                                                                  
1A4Y,1A4Y-UNKNOWN                                                                                                  
1AAA,BUS ADM/MGT ACTG AUDITING                                                                                     
1AAB,BUS ADM/MGT ACTG BUDGETING                                                                                    
1AAC,BUS ADM/MGT ACTG COST ACTG                                                                                    
1AAD,BUS ADM/MGT ACTG FIS PROC                                                                                     
1AAE,BUS ADM/MGT ACTG GOV ACTG                                                                                     
1AAF,BUS ADM/MGT ACTG TAX ACTG                                                                                     
1AAG,BUS ADM/MGT ACTG OTHER                                                                                        
1AAH,BUS ADMIN/COMPUTER/INFO SYS                                                                                   
1AAX,BUSS ADM/MGT ACTG OTHER                                                                                       
1AAY,BUS ADM/MGT ACCOUNTING                                                                                        
1AAZ,1AAZ-UNKNOWN                                                                                                  
1ABX,1ABX-UNKNOWN                                                                                                  
1ABY,BUS ADM/MGT APPLIED COMPT                                                                                     
1ACA,PROCUREMENT MANAGEMENT                                                                                        
1ACB,ACQUISITION LOGISTICS MGT                                                                                     
1ACC,CONTRACTING MGT                                                                                               
1ACD,PROFESSIONAL MAINTENANCE CERTIFICTION  LEVEL 1                                                                
1ACE,PROFESSIONAL MAINTENANCE CERTIFICATION  LEVEL 2                                                               
1ACF,PROFESSIONAL MAINTENANCE CERTIFICATION  LEVEL 3                                                               
1ACG,PROFESSIONAL MAINTENANCE CERTIFICATION  LEVEL 4                                                               
1ACH,PROFESSIONAL MAINTENANCE CERTIFICATION  LEVEL 5                                                               
1ACX,LOGISTICS MANAGEMENT/OTHER                                                                                    
1ACY,LOGISTICS MANAGEMENT                                                                                          
1ADA,BUS ADM/MGT BUS ECO BUS CY                                                                                    
1ADB,BUS ADM/MGT BUS ECO COM SYS                                                                                   
1ADC,BUS ADM/MGT BUS ECO ECO GEO                                                                                   
1ADD,BUS ADM/MGT BUS ECO ECO NR                                                                                    
1ADE,BUS ADM/MGT BUS ECO INT TR                                                                                    
1ADF,BUS ADM/MGT BUS ECO LAB ECO                                                                                   
1ADX,BUS ADM/MGT BUS ECO OTH ER                                                                                    
1ADY,BUS ADM/MGT BUS ECONOMICS                                                                                     
1AEA,BUS ADM/MGT BUS LAW AGE LAW                                                                                   
1AEB,BUS ADM/MGT BUS LAW ORG REG                                                                                   
1AEC,BUS ADM/MGT BUS LAW CON LAW                                                                                   
1AED,BUS ADM/MGT BUS LAW LAB LAW                                                                                   
1AEE,BUS ADM/MGT BUS LAW NEG LAW                                                                                   
1AEF,BUS ADM/MGT BUS LAW SAL LAW                                                                                   
1AEX,BUS ADM/MGT BUS LAW OTHER                                                                                     
1AEY,BUS ADM/MGT BUS LAW                                                                                           
1AFA,BUS ADM/MGT STAT ADV STAT                                                                                     
1AFB,1AFB-UNKNOWN                                                                                                  
1AFC,BUS ADM/MGT STAT IND BUS CD                                                                                   
1AFD,BUS ADM/MGT STAT MGT TECH                                                                                     
1AFE,BUS ADM/MGT STAT PROBABILIT                                                                                   
1AFF,BUS ADM/MGT STAT STAT DSG                                                                                     
1AFG,BUS ADM/MGT STAT SEP IND NR                                                                                   
1AFJ,1AFJ-UNKNOWN                                                                                                  
1AFX,BUS ADM/MGT STAT OTHER                                                                                        
1AFY,BUS ADM/MGT STATISTIC MTHOD                                                                                   
1AGA,SPEC FACILITIES MGT                                                                                           
1AGE,ENG AND ENVIRONMENTAL MGT                                                                                     
1AGY,ENGINEERING MGT                                                                                               
1AH1,1AH1-UNKNOWN                                                                                                  
1AHA,BUS ADM/MGT FIN CORP FINANC                                                                                   
1AHB,BUS ADM/MGT FIN INVESTMENTS                                                                                   
1AHH,1AHH-UNKNOWN                                                                                                  
1AHX,BUS ADM/MGT FIN OTHER                                                                                         
1AHY,BUS ADM/MGT FINANCE                                                                                           
1AIA,FS MGT HOSPITAL & INST MGT                                                                                    
1AIB,FS MGT HOTEL OR CLUB MGT                                                                                      
1AIC,FS MGT RESTAURANT MGT                                                                                         
1AID,LODGING MANAGEMENT                                                                                            
1AIX,FOOD SRVC & INST MGT  OTHER                                                                                   
1AIY,FOOD SERVICE & INSTUTNL MGT                                                                                   
1AJ3,1AJ3-UNKNOWN                                                                                                  
1AJA,BUS ADM/MGT GEN MGT BUS HST                                                                                   
1AJB,BUS ADM/MGT GEN MGT BUS POL                                                                                   
1AJC,BUS ADM/MGT GEN MGT ECO ANL                                                                                   
1AJD,BUS ADM/MGT GEN MGT GOV POL                                                                                   
1AJE,BUS ADM/MGT GEN MGT INT REL                                                                                   
1AJF,CONSTRUCTION MGMT                                                                                             
1AJX,BUS ADM/MGT GEN MGT OTHER                                                                                     
1AJY,BUS ADM/MGT GENERAL MGT                                                                                       
1AJZ,1AJZ-UNKNOWN                                                                                                  
1AKA,BUS MGT/ADM IND PRODCST ADM                                                                                   
1AKB,BUS MGT/ADM IND PRODFAC MGT                                                                                   
1AKC,BUS MGT/ADM IND PRODIND PRO                                                                                   
1AKD,BUS MGT/ADM IND PRODINV CTL                                                                                   
1AKE,BUS MGT/ADM IND PRODLIN SUP                                                                                   
1AKF,BUS MGT/ADM IND PRODMARKET                                                                                    
1AKG,IND PROD OPS RESEARCH                                                                                         
1AKH,BUS MGT/ADM IND PRODPLT LAY                                                                                   
1AKI,BUS MGT/ADM IND PRODPRO CTL                                                                                   
1AKJ,BUS MGT/ADM IND PRODPURCHAS                                                                                   
1AKK,BUS MGT/ADM IND PRODMOT STD                                                                                   
1AKR,1AKR-UNKNOWN                                                                                                  
1AKX,BUS MGT/ADM IND PROOTHER                                                                                      
1AKY,BUS MGT/ADM IND PRODUCTION                                                                                    
1AKZ,OPERATIONS MANAGEMENT                                                                                         
1ALA,BUS ADM/MGT INS CASULTY INS                                                                                   
1ALB,BUS ADM/MGT INS LIFE INSURA                                                                                   
1ALC,BUS ADM/MGT INS MARITIM INS                                                                                   
1ALD,BUS ADM/MGT INS PROPERT INS                                                                                   
1ALX,BUS ADM/MGT INS OTHER                                                                                         
1ALY,BUS ADM/MGT INSURANCE                                                                                         
1AMA,BUS ADM/MGT LOG ADV EXC MGT                                                                                   
1AMB,BUS ADM/MGT LOG GOV ACC BGT                                                                                   
1AMC,BUS ADM/MGT LOG LOG FUN MGT                                                                                   
1AMD,BUS ADM/MGT LOG LOG STATIST                                                                                   
1AME,BUS ADM/MGT LOG MGT INFO SY                                                                                   
1AMF,BUS ADM/MGT LOG NEGOT MGT                                                                                     
1AMG,BUS ADM/MGT LOG SYSTEM ANAL                                                                                   
1AMH,CNTRCT & ACQ MNGMT                                                                                            
1AMI,INTERNTL LOG MGT                                                                                              
1AMJ,LIFE CYCLE LOGISTICS                                                                                          
1AMM,MAINTENANCE MANAGEMENT                                                                                        
1AMN,NUCLEAR LOGISTICS MGT                                                                                         
1AMP,STRATEGIC PURCHASING                                                                                          
1AMS,SUPPLY MANAGEMENT                                                                                             
1AMT,MGMT OF TECHNOLOGY                                                                                            
1AMX,BUS ADM/MGT LOG OTHER                                                                                         
1AMY,BUS ADM/MGT  LOGISTICS MGT                                                                                    
1ANA,BUS ADM/MGT MARK ADVERTISIN                                                                                   
1ANB,BUS ADM/MGT MARK COOP MARK                                                                                    
1ANC,BUS ADM/MGT MARK PURCHASIN                                                                                    
1AND,BUS ADM/MGT MARK RETALING                                                                                     
1ANE,BUS ADM/MGT MARK SALES                                                                                        
1ANF,BUS ADM/MGT MARK WHOLESALNG                                                                                   
1ANG,BUS ADM/MGT MARK BUYING                                                                                       
1ANO,1ANO-UNKNOWN                                                                                                  
1ANX,BUS ADM/MGT MARK OTHER                                                                                        
1ANY,BUS ADM/MGT MARKETING                                                                                         
1AOA,BUS ADM/MGT PERSOED & TNG                                                                                     
1AOB,BUS ADM/MGT PERSOEMPL SVS                                                                                     
1AOC,BUS ADM/MGT PERSIND RELATIO                                                                                   
1AOD,BUS ADM/MGT PERSJOB CLASS                                                                                     
1AOE,BUS ADM/MGT PERSJOB EVAL                                                                                      
1AOF,BUS ADM/MGT PERSLABOR REL                                                                                     
1AOG,BUS ADM/MGT PERSORG PLN DEV                                                                                   
1AOH,BUS ADM/MGT PERSPERF RATING                                                                                   
1AOI,BUS ADM/MGT PERSTEST & EVAL                                                                                   
1AOJ,BUS ADM/MGT PERSREC SEL EMP                                                                                   
1AOK,BUS ADM/MGT PERSUNION ORGN                                                                                    
1AOL,BUS ADM/MGT PERSWAGE/SAL AD                                                                                   
1AOM,PROFESSIONAL MANAGER CERTIFICATION                                                                            
1AON,PROJECT MANAGEMENT                                                                                            
1AOW,HUMAN RESOURCES/ORGANIZATIONAL DEVELOPMENT                                                                    
1AOX,BUS ADM/MGT PERSOTHER                                                                                         
1AOY,HUM RES MGT/PERS ADM                                                                                          
1APA,BUS ADM/MGT  QUALITY ASSUR                                                                                    
1APB,BUS ADM/MGT  ORG MGT                                                                                          
1APX,1APX-UNKNOWN                                                                                                  
1APY,RESRC & DEV MGT                                                                                               
1AQA,BUS ADM/MGT REAL EST COMM                                                                                     
1AQB,BUS ADM/MGT REAL EST IND                                                                                      
1AQC,BUS ADM/MGT REAL EST RES                                                                                      
1AQX,BUS ADM/MGT REAL EST OTHER                                                                                    
1AQY,BUS ADM/MGT REAL ESTATE                                                                                       
1ARY,BUS ADM/MGT  SAFETY MGT                                                                                       
1ASA,COST ANALYSIS                                                                                                 
1ASM,SOFTWARE SYST MGT                                                                                             
1ASY,BUS ADM/MGT  SYSTEMS MGT                                                                                      
1ATA,BUS ADM/MGT  TRAN AIR TRANS                                                                                   
1ATB,BUS ADM/MGT  TRAN HIWAY TRN                                                                                   
1ATC,BUS ADM/MGT  TRAN IND TRAFF                                                                                   
1ATD,BUS ADM/MGT  TRAN PRIN TRAN                                                                                   
1ATE,BUS ADM/MGT  TRAN RAIL TRAN                                                                                   
1ATF,BUS ADM/MGT TRAN RATE STRUC                                                                                   
1ATG,BUS ADM MGT TRANTRAF CONTR                                                                                    
1ATH,BUS ADM MGT TRANTRANS GEOG                                                                                    
1ATI,BUS ADM MGT TRANLAW                                                                                           
1ATJ,BUS ADM MGT TRANWATER TRAN                                                                                    
1ATK,TRANS MGT/AIR MOB                                                                                             
1ATX,BUS ADM MGT TRANTOTHER                                                                                        
1ATY,BUS ADM/MGT  TRANSPORT MGT                                                                                    
1ATZ,1ATZ-UNKNOWN                                                                                                  
1AUJ,1AUJ-UNKNOWN                                                                                                  
1AUY,INFO RESOURCES MGT                                                                                            
1AV4,1AV4-UNKNOWN                                                                                                  
1AVS,SPACE SYSTEMS MGT                                                                                             
1AVY,BUS ADM  AERO/AVIA MGT                                                                                        
1AWY,MPWR  PERS & TNG ANALY                                                                                        
1AXV,1AXV-UNKNOWN                                                                                                  
1AXX,1AXX-UNKNOWN                                                                                                  
1AXY,BUS ADM/MGT OTHER                                                                                             
1AXZ,1AXZ-UNKNOWN                                                                                                  
1AYA,1AYA-UNKNOWN                                                                                                  
1AYH,1AYH-UNKNOWN                                                                                                  
1AYJ,1AYJ-UNKNOWN                                                                                                  
1AYK,1AYK-UNKNOWN                                                                                                  
1AYT,1AYT-UNKNOWN                                                                                                  
1AYY,BUS ADM AND MANAGEMENT                                                                                        
1AZZ,1AZZ-UNKNOWN                                                                                                  
1B0Y,1B0Y-UNKNOWN                                                                                                  
1BAA,MIL OPERATIONAL ART/SCI                                                                                       
1BAB,MILITARY STRATEGY                                                                                             
1BAX,1BAX-UNKNOWN                                                                                                  
1BAY,AIRPOWER ART & SCIENCE                                                                                        
1BBA,BASIC SCIENCE                                                                                                 
1BBB,1BBB-UNKNOWN                                                                                                  
1BBC,1BBC-UNKNOWN                                                                                                  
1BBD,1BBD-UNKNOWN                                                                                                  
1BBE,1BBE-UNKNOWN                                                                                                  
1BBM,1BBM-UNKNOWN                                                                                                  
1BBX,1BBX-UNKNOWN                                                                                                  
1BBY,1BBY-UNKNOWN                                                                                                  
1BCY,1BCY-UNKNOWN                                                                                                  
1BHY,1BHY-UNKNOWN                                                                                                  
1BIC,1BIC-UNKNOWN                                                                                                  
1BIJ,1BIJ-UNKNOWN                                                                                                  
1BXY,1BXY-UNKNOWN                                                                                                  
1BXZ,1BXZ-UNKNOWN                                                                                                  
1BYY,MILITARY ARTS AND SCIENCES                                                                                    
1BZY,1BZY-UNKNOWN                                                                                                  
1BZZ,1BZZ-UNKNOWN                                                                                                  
1C26,1C26-UNKNOWN                                                                                                  
